Mese,Pokemon
2014-01,10
2014-02,11
2014-03,12
2014-04,11
2014-05,10
2014-06,9
2014-07,10
2014-08,9
2014-09,7
2014-10,7
2014-11,9
2014-12,11
2015-01,9
2015-02,8
2015-03,7
2015-04,7
2015-05,8
2015-06,7
2015-07,8
2015-08,7
2015-09,8
2015-10,8
2015-11,7
2015-12,8
2016-01,8
2016-02,9
2016-03,10
2016-04,8
2016-05,9
2016-06,9
2016-07,100
2016-08,65
2016-09,29
2016-10,19
2016-11,19
2016-12,19
2017-01,14
2017-02,13
2017-03,11
2017-04,10
2017-05,9
2017-06,11
2017-07,11
2017-08,11
2017-09,8
2017-10,8
2017-11,9
2017-12,10
2018-01,8
2018-02,8
2018-03,8
2018-04,8
2018-05,8
2018-06,9
2018-07,11
2018-08,9
2018-09,8
2018-10,7
2018-11,11
2018-12,9
2019-01,8
2019-02,8
2019-03,8
2019-04,7
2019-05,9
2019-06,9
2019-07,10
2019-08,10
2019-09,9
2019-10,8
2019-11,14
2019-12,12
2020-01,10
2020-02,9
2020-03,10
2020-04,10
2020-05,10
2020-06,10
2020-07,10
2020-08,10
2020-09,8
2020-10,9
2020-11,10
2020-12,9
2021-01,9
2021-02,9
2021-03,9
2021-04,8
2021-05,9
2021-06,8
2021-07,10
2021-08,10
2021-09,8
2021-10,8
2021-11,10
2021-12,10
2022-01,10
2022-02,11
2022-03,9
2022-04,8
2022-05,8
2022-06,9
2022-07,9
2022-08,10
2022-09,9
2022-10,9
2022-11,15
2022-12,14
2023-01,11
2023-02,10
2023-03,9
2023-04,8
2023-05,7
2023-06,8
2023-07,9
2023-08,10
2023-09,9
2023-10,8
2023-11,8
2023-12,9
