Mese,Snivy,Tepig,Oshawott
2014-01,26,20,25
2014-02,29,21,22
2014-03,28,22,26
2014-04,26,21,23
2014-05,25,18,22
2014-06,25,19,23
2014-07,25,20,23
2014-08,23,18,20
2014-09,18,13,16
2014-10,17,13,15
2014-11,18,13,15
2014-12,27,18,21
2015-01,28,17,20
2015-02,20,15,17
2015-03,18,14,15
2015-04,19,13,16
2015-05,18,13,15
2015-06,17,12,15
2015-07,19,14,15
2015-08,18,13,15
2015-09,16,12,13
2015-10,17,12,14
2015-11,15,11,14
2015-12,18,12,16
2016-01,16,12,13
2016-02,16,12,15
2016-03,18,13,15
2016-04,15,12,14
2016-05,18,12,19
2016-06,19,13,16
2016-07,33,27,32
2016-08,34,27,30
2016-09,27,20,24
2016-10,23,15,19
2016-11,21,14,19
2016-12,22,13,19
2017-01,17,11,16
2017-02,17,9,14
2017-03,17,9,13
2017-04,16,9,13
2017-05,14,8,12
2017-06,15,8,12
2017-07,15,8,10
2017-08,14,10,11
2017-09,13,7,10
2017-10,12,7,10
2017-11,13,7,9
2017-12,14,7,12
2018-01,13,4,11
2018-02,11,7,9
2018-03,13,7,8
2018-04,11,7,10
2018-05,11,6,10
2018-06,12,7,11
2018-07,13,7,12
2018-08,13,7,12
2018-09,11,6,10
2018-10,10,6,10
2018-11,10,7,11
2018-12,11,7,11
2019-01,10,7,9
2019-02,11,7,11
2019-03,12,8,13
2019-04,11,6,11
2019-05,12,7,12
2019-06,13,8,13
2019-07,14,7,13
2019-08,18,8,13
2019-09,30,17,26
2019-10,19,14,22
2019-11,19,12,20
2019-12,18,11,19
2020-01,18,11,18
2020-02,20,11,16
2020-03,20,12,18
2020-04,22,11,18
2020-05,21,13,20
2020-06,22,15,23
2020-07,19,11,19
2020-08,28,21,29
2020-09,15,9,14
2020-10,14,8,13
2020-11,15,9,13
2020-12,15,8,13
2021-01,30,16,23
2021-02,17,18,25
2021-03,24,11,21
2021-04,81,9,14
2021-05,15,9,15
2021-06,14,22,16
2021-07,18,49,23
2021-08,14,9,31
2021-09,12,9,100
2021-10,12,7,15
2021-11,11,8,20
2021-12,17,16,21
2022-01,14,8,87
2022-02,17,10,82
2022-03,18,12,39
2022-04,16,11,26
2022-05,14,10,24
2022-06,14,11,24
2022-07,14,9,26
2022-08,14,9,21
2022-09,13,9,21
2022-10,12,8,20
2022-11,18,14,25
2022-12,17,10,26
2023-01,15,10,22
2023-02,13,8,21
2023-03,14,8,21
2023-04,14,8,26
2023-05,12,8,20
2023-06,12,7,20
2023-07,13,9,21
2023-08,13,8,21
2023-09,12,6,18
2023-10,21,7,18
2023-11,10,7,17
2023-12,22,15,27
